0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
0.004,0.01,0.915,0.931,0.944,0.959,0.915,0.754,0.281,0.017,0.003,0.002
0.003,0.01,0.957,0.997,1.028,0.95,0.924,0.754,0.344,0.017,0.003,0.003
0.003,0.01,0.934,0.948,1.009,0.96,0.964,0.789,0.272,0.016,0.003,0.003
0.003,0.008,0.027,0.009,0.009,0.012,0.019,0.01,0.01,0.01,0.003,0.003
0.003,0.008,0.009,0.009,0.009,0.012,0.011,0.012,0.013,0.007,0.003,0.003
0.004,0.012,0.014,0.012,0.009,0.01,0.011,0.012,0.01,0.009,0.002,0.003
0.003,0.791,0.584,0.377,0.23,0.128,0.067,0.041,0.025,0.017,0.002,0.003
